,Unnamed: 0,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Year,Month,Date,Day_of_Week,Part_of_Day
55,55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 03:02:00,photo,healthy eating,positive,60,2021,June,16,Wednesday,Night
56,56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07 10:52:00,photo,healthy eating,neutral,20,2020,July,7,Tuesday,Morning
57,57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 07:59:00,photo,healthy eating,neutral,35,2020,August,20,Thursday,Morning
58,58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23 11:15:00,photo,healthy eating,positive,65,2020,September,23,Wednesday,Morning
59,59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24 05:56:00,photo,healthy eating,positive,50,2021,March,24,Wednesday,Morning
60,60,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07 19:13:00,photo,healthy eating,negative,5,2020,December,7,Monday,Evening
61,61,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03 16:41:00,photo,healthy eating,positive,75,2020,August,3,Monday,Afternoon
62,62,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10 15:36:00,photo,healthy eating,positive,72,2021,January,10,Sunday,Afternoon
63,63,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20 08:48:00,photo,healthy eating,negative,15,2020,September,20,Sunday,Morning
64,64,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20 14:06:00,photo,healthy eating,positive,70,2020,July,20,Monday,Afternoon
65,65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24 12:15:00,photo,healthy eating,positive,72,2020,October,24,Saturday,Afternoon
66,66,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06 01:27:00,photo,healthy eating,positive,30,2021,June,6,Sunday,Night
67,67,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25 00:09:00,photo,healthy eating,positive,60,2020,December,25,Friday,Night
68,68,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-14 07:56:00,photo,healthy eating,positive,50,2021,June,14,Monday,Morning
69,69,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-05 18:00:00,photo,healthy eating,positive,50,2021,June,5,Saturday,Evening
70,70,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-11-18 23:37:00,photo,healthy eating,negative,5,2020,November,18,Wednesday,Night
71,71,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-05-09 02:42:00,photo,healthy eating,positive,30,2021,May,9,Sunday,Night
72,72,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-05-11 08:38:00,photo,healthy eating,negative,10,2021,May,11,Tuesday,Morning
73,73,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,2020-11-12 08:00:00,photo,healthy eating,neutral,35,2020,November,12,Thursday,Morning
74,74,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21 16:57:00,photo,healthy eating,positive,60,2020,June,21,Sunday,Afternoon
75,75,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2021-03-04 23:58:00,photo,healthy eating,positive,75,2021,March,4,Thursday,Night
76,76,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-07-09 16:47:00,photo,healthy eating,positive,70,2020,July,9,Thursday,Afternoon
77,77,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-08-01 19:16:00,photo,healthy eating,negative,5,2020,August,1,Saturday,Evening
78,78,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2020-11-23 22:46:00,photo,healthy eating,negative,10,2020,November,23,Monday,Night
79,79,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-12-11 14:08:00,photo,healthy eating,negative,15,2020,December,11,Friday,Afternoon
80,80,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-04-23 23:41:00,photo,healthy eating,negative,10,2021,April,23,Friday,Night
81,81,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-11-13 00:33:00,photo,healthy eating,positive,70,2020,November,13,Friday,Night
82,82,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-09 10:13:00,photo,healthy eating,positive,30,2021,June,9,Wednesday,Morning
83,83,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,2020-10-29 19:41:00,photo,healthy eating,positive,65,2020,October,29,Thursday,Evening
84,84,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2021-05-14 12:47:00,photo,healthy eating,positive,60,2021,May,14,Friday,Afternoon
85,85,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 05:40:00,photo,healthy eating,negative,0,2020,August,4,Tuesday,Morning
86,86,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-08-07 04:09:00,photo,healthy eating,positive,72,2020,August,7,Friday,Night
87,87,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-23 21:19:00,photo,healthy eating,positive,72,2020,October,23,Friday,Night
88,88,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-11-14 23:53:00,photo,healthy eating,positive,72,2020,November,14,Saturday,Night
89,89,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,2020-08-04 19:26:00,photo,healthy eating,negative,12,2020,August,4,Tuesday,Evening
90,90,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2020-11-12 04:54:00,photo,healthy eating,positive,30,2020,November,12,Thursday,Night
91,91,356fff80-da4d-4785-9f43-bc1261031dc6,worried,2021-04-03 12:17:00,photo,technology,negative,12,2021,April,3,Saturday,Afternoon
92,92,356fff80-da4d-4785-9f43-bc1261031dc6,want,2020-09-27 22:15:00,photo,technology,positive,70,2020,September,27,Sunday,Night
93,93,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2020-10-27 05:45:00,photo,technology,positive,60,2020,October,27,Tuesday,Morning
94,94,356fff80-da4d-4785-9f43-bc1261031dc6,scared,2020-10-15 09:11:00,photo,technology,negative,15,2020,October,15,Thursday,Morning
95,95,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2021-05-07 09:16:00,photo,technology,positive,60,2021,May,7,Friday,Morning
96,96,356fff80-da4d-4785-9f43-bc1261031dc6,hate,2020-09-16 08:39:00,photo,technology,negative,5,2020,September,16,Wednesday,Morning
97,97,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,2020-10-29 15:38:00,photo,technology,neutral,20,2020,October,29,Thursday,Afternoon
98,98,01ab84dd-6364-4236-abbb-3f237db77180,scared,2021-05-24 18:03:00,video,food,negative,15,2021,May,24,Monday,Evening
99,99,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-02-25 20:02:00,GIF,cooking,positive,30,2021,February,25,Thursday,Evening
100,100,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,2021-05-02 03:45:00,GIF,cooking,negative,5,2021,May,2,Sunday,Night
101,101,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,2021-01-28 08:49:00,GIF,cooking,positive,70,2021,January,28,Thursday,Morning
102,102,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2021-02-15 13:06:00,GIF,cooking,neutral,35,2021,February,15,Monday,Afternoon
103,103,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2020-11-04 21:25:00,GIF,cooking,negative,10,2020,November,4,Wednesday,Night
104,104,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,2020-06-23 22:12:00,GIF,cooking,positive,65,2020,June,23,Tuesday,Night
105,105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-02-16 04:01:00,GIF,cooking,positive,70,2021,February,16,Tuesday,Night
106,106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-01-03 08:44:00,GIF,cooking,positive,30,2021,January,3,Sunday,Morning
107,107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2020-11-25 12:45:00,GIF,cooking,positive,72,2020,November,25,Wednesday,Afternoon
108,108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,2020-12-03 16:47:00,GIF,cooking,positive,50,2020,December,3,Thursday,Afternoon
109,109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,2021-05-22 21:03:00,GIF,cooking,positive,50,2021,May,22,Saturday,Night
110,110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-01-18 13:39:00,GIF,cooking,positive,70,2021,January,18,Monday,Afternoon
111,111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,2021-01-06 00:35:00,GIF,cooking,neutral,20,2021,January,6,Wednesday,Night
112,112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-14 14:33:00,GIF,cooking,positive,72,2021,May,14,Friday,Afternoon
113,113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,2021-05-27 15:21:00,GIF,cooking,negative,12,2021,May,27,Thursday,Afternoon
114,114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-07-21 02:12:00,GIF,cooking,neutral,35,2020,July,21,Tuesday,Night
115,115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-05-26 06:09:00,GIF,cooking,negative,10,2021,May,26,Wednesday,Morning
116,116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-02-25 03:16:00,GIF,cooking,negative,10,2021,February,25,Thursday,Night
117,117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,2020-12-07 22:50:00,GIF,cooking,positive,45,2020,December,7,Monday,Night
118,118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,2020-10-24 14:06:00,GIF,cooking,neutral,20,2020,October,24,Saturday,Afternoon
119,119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-09-01 21:18:00,GIF,cooking,neutral,35,2020,September,1,Tuesday,Night
120,120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-10 22:07:00,GIF,cooking,positive,72,2021,May,10,Monday,Night
121,121,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2021-02-12 16:37:00,video,dogs,positive,70,2021,February,12,Friday,Afternoon
122,122,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-04-28 15:22:00,video,dogs,positive,60,2021,April,28,Wednesday,Afternoon
123,123,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,2021-01-24 00:38:00,video,dogs,positive,45,2021,January,24,Sunday,Night
124,124,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2021-03-18 01:53:00,video,dogs,negative,12,2021,March,18,Thursday,Night
125,125,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14 07:21:00,video,dogs,negative,0,2021,January,14,Thursday,Morning
126,126,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-12-23 04:11:00,video,dogs,positive,60,2020,December,23,Wednesday,Night
127,127,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2021-05-21 07:23:00,video,dogs,negative,5,2021,May,21,Friday,Morning
128,128,3f8590c7-6ab2-4973-805a-90cdec355f05,like,2021-03-28 23:25:00,video,dogs,positive,50,2021,March,28,Sunday,Night
129,129,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,2020-09-16 07:33:00,video,dogs,neutral,35,2020,September,16,Wednesday,Morning
130,130,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,2020-11-08 10:53:00,video,dogs,neutral,20,2020,November,8,Sunday,Morning
131,131,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-06 05:23:00,video,dogs,positive,60,2021,March,6,Saturday,Morning
132,132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13 23:35:00,video,dogs,negative,0,2021,January,13,Wednesday,Night
133,133,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2020-09-06 22:35:00,video,dogs,positive,70,2020,September,6,Sunday,Night
134,134,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-06-24 09:31:00,video,dogs,positive,30,2020,June,24,Wednesday,Morning
135,135,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2021-02-07 21:39:00,video,dogs,negative,5,2021,February,7,Sunday,Night
136,136,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,2021-01-21 18:28:00,video,dogs,positive,45,2021,January,21,Thursday,Evening
137,137,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2021-02-27 00:21:00,video,dogs,negative,10,2021,February,27,Saturday,Night
138,138,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2020-08-22 12:06:00,video,dogs,negative,12,2020,August,22,Saturday,Afternoon
139,139,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2020-08-03 06:29:00,video,dogs,positive,70,2020,August,3,Monday,Morning
140,140,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-08-02 06:20:00,video,dogs,negative,15,2020,August,2,Sunday,Morning
141,141,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2021-06-04 04:57:00,video,dogs,positive,70,2021,June,4,Friday,Night
142,142,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,2020-10-21 09:07:00,video,dogs,positive,75,2020,October,21,Wednesday,Morning
143,143,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2020-12-26 19:46:00,video,dogs,negative,10,2020,December,26,Saturday,Evening
144,144,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2021-03-02 22:47:00,video,dogs,negative,15,2021,March,2,Tuesday,Night
145,145,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,2021-03-31 09:48:00,video,dogs,neutral,20,2021,March,31,Wednesday,Morning
146,146,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2021-06-14 13:44:00,video,dogs,positive,30,2021,June,14,Monday,Afternoon
147,147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-12-27 17:04:00,video,dogs,negative,15,2020,December,27,Sunday,Evening
148,148,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2021-02-11 03:51:00,video,dogs,negative,15,2021,February,11,Thursday,Night
149,149,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-12-07 19:07:00,video,dogs,positive,30,2020,December,7,Monday,Evening
150,150,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-12-28 08:31:00,video,dogs,positive,30,2020,December,28,Monday,Morning
151,151,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-10-26 05:27:00,video,dogs,positive,30,2020,October,26,Monday,Morning
152,152,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2020-09-26 18:43:00,video,dogs,negative,12,2020,September,26,Saturday,Evening
153,153,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-11-25 13:01:00,video,dogs,negative,15,2020,November,25,Wednesday,Afternoon
154,154,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-07-11 05:51:00,video,dogs,positive,60,2020,July,11,Saturday,Morning
155,155,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-19 16:23:00,video,dogs,positive,60,2021,March,19,Friday,Afternoon
156,156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-10-11 18:31:00,video,dogs,positive,30,2020,October,11,Sunday,Evening
157,157,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-11-02 20:15:00,video,dogs,positive,60,2020,November,2,Monday,Evening
158,158,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2020-10-01 03:35:00,video,dogs,positive,70,2020,October,1,Thursday,Night
159,159,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-02-11 20:10:00,video,dogs,negative,0,2021,February,11,Thursday,Evening
160,160,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2021-02-07 15:59:00,video,dogs,positive,70,2021,February,7,Sunday,Afternoon
161,161,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2020-10-17 11:46:00,video,dogs,negative,5,2020,October,17,Saturday,Morning
162,162,3f8590c7-6ab2-4973-805a-90cdec355f05,like,2020-08-09 19:41:00,video,dogs,positive,50,2020,August,9,Sunday,Evening
163,163,3f8590c7-6ab2-4973-805a-90cdec355f05,love,2021-02-01 02:40:00,video,dogs,positive,65,2021,February,1,Monday,Night
164,164,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,2021-01-30 09:36:00,video,dogs,positive,72,2021,January,30,Saturday,Morning
165,165,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,2021-03-31 15:24:00,video,technology,positive,70,2021,March,31,Wednesday,Afternoon
166,166,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2021-02-05 17:00:00,video,technology,positive,75,2021,February,5,Friday,Evening
167,167,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2021-02-19 16:29:00,video,technology,positive,60,2021,February,19,Friday,Afternoon
168,168,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,2020-07-25 00:00:00,video,technology,negative,12,2020,July,25,Saturday,Night
169,169,0bedca96-fb76-4287-a83c-17330ed39cce,adore,2020-07-13 02:38:00,photo,soccer,positive,72,2020,July,13,Monday,Night
170,170,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,2021-01-13 13:11:00,photo,soccer,neutral,20,2021,January,13,Wednesday,Afternoon
171,171,0bedca96-fb76-4287-a83c-17330ed39cce,worried,2021-01-02 16:46:00,photo,soccer,negative,12,2021,January,2,Saturday,Afternoon
172,172,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,2020-11-26 02:25:00,photo,soccer,positive,45,2020,November,26,Thursday,Night
173,173,0bedca96-fb76-4287-a83c-17330ed39cce,want,2020-08-25 19:18:00,photo,soccer,positive,70,2020,August,25,Tuesday,Evening
174,174,0bedca96-fb76-4287-a83c-17330ed39cce,hate,2021-02-01 00:15:00,photo,soccer,negative,5,2021,February,1,Monday,Night
175,175,0bedca96-fb76-4287-a83c-17330ed39cce,love,2021-06-04 14:36:00,photo,soccer,positive,65,2021,June,4,Friday,Afternoon
176,176,0bedca96-fb76-4287-a83c-17330ed39cce,adore,2020-08-19 13:38:00,photo,soccer,positive,72,2020,August,19,Wednesday,Afternoon
177,177,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,2021-04-22 02:08:00,photo,soccer,positive,70,2021,April,22,Thursday,Night
178,178,0bedca96-fb76-4287-a83c-17330ed39cce,super love,2020-06-26 10:33:00,photo,soccer,positive,75,2020,June,26,Friday,Morning
179,179,0bedca96-fb76-4287-a83c-17330ed39cce,like,2020-08-15 18:16:00,photo,soccer,positive,50,2020,August,15,Saturday,Evening
180,180,0bedca96-fb76-4287-a83c-17330ed39cce,love,2020-11-26 13:42:00,photo,soccer,positive,65,2020,November,26,Thursday,Afternoon
181,181,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-04-14 00:56:00,photo,public speaking,positive,70,2021,April,14,Wednesday,Night
182,182,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2020-07-21 21:27:00,photo,public speaking,neutral,20,2020,July,21,Tuesday,Night
